						 																																																																																																																																																																																																																																																								
Table 8.1.																																																																																																																																																																																																																																																														
Absorptivities (L mmol-1. cm- 1) of various derivatives of adult human haemoglobin																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
l (nm)	?HHb	?02Hb	?COHb	?Hi	?HiCN	?SHb																																																																																																																																																																																																																																																								
	N=6	N=6	N=8	N =15	N= ll	N=6																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																														
626	1.163			3.806	0.717	19.47
628	1.120			3.862	0.658	17.54	
630	1.082			3.895	0.606	15.28	

l  =450-630nm. Standard procedure;HP8450A.							
Absorbance measured with 1= 0.010-0.016cm. N is number of specimens. 							
Na2S2O4 use to prevent reoxygenation of HHb. pH range (Hi) = 7.14-7.30.							


							
							
							
							
							
							
							
							
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
